同花顺iFinD,399905.SZ
,中证500
日期,涨跌幅
2019-01-02,-0.8656 
2019-01-03,-0.4635 
2019-01-04,2.3845 
2019-01-07,1.8392 
2019-01-08,-0.2571 
2019-01-09,0.2683 
2019-01-10,-0.1611 
2019-01-11,0.7710 
2019-01-14,-0.6565 
2019-01-15,1.4186 
2019-01-16,-0.2410 
2019-01-17,-0.7643 
2019-01-18,1.0242 
2019-01-21,0.5939 
2019-01-22,-1.4949 
2019-01-23,0.1725 
2019-01-24,0.5210 
2019-01-25,-0.4548 
2019-01-28,-0.2599 
2019-01-29,-1.2289 
2019-01-30,-1.0028 
2019-01-31,-0.8346 
2019-02-01,2.8205 
2019-02-11,2.5289 
2019-02-12,0.8317 
2019-02-13,1.6426 
2019-02-14,0.4379 
2019-02-15,-0.6495 
2019-02-18,3.5148 
2019-02-19,0.1348 
2019-02-20,0.0073 
2019-02-21,-0.1817 
2019-02-22,2.5360 
2019-02-25,5.5900 
2019-02-26,-0.1150 
2019-02-27,-0.4100 
2019-02-28,0.1476 
2019-03-01,0.8345 
2019-03-04,1.7963 
2019-03-05,2.6567 
2019-03-06,1.7892 
2019-03-07,1.2725 
2019-03-08,-3.9005 
2019-03-11,4.0163 
2019-03-12,1.7342 
2019-03-13,-2.2724 
2019-03-14,-2.3293 
2019-03-15,1.1420 
2019-03-18,2.6530 
2019-03-19,0.3817 
2019-03-20,-0.1158 
2019-03-21,1.3360 
2019-03-22,0.5844 
2019-03-25,-1.2890 
2019-03-26,-2.7892 
2019-03-27,0.9824 
2019-03-28,-1.4273 
2019-03-29,3.3059 
2019-04-01,3.7887 
2019-04-02,0.3076 
2019-04-03,1.0473 
2019-04-04,0.6086 
2019-04-08,-0.4075 
2019-04-09,0.1781 
2019-04-10,-0.1244 
2019-04-11,-2.1123 
2019-04-12,-0.2236 
2019-04-15,-1.0217 
2019-04-16,2.1398 
2019-04-17,0.5317 
2019-04-18,-0.5606 
2019-04-19,0.6062 
2019-04-22,-1.4997 
2019-04-23,-1.6596 
2019-04-24,0.9180 
2019-04-25,-3.8964 
2019-04-26,-0.9231 
2019-04-29,-2.6337 
2019-04-30,0.7968 
2019-05-06,-7.5131 
2019-05-07,1.3161 
2019-05-08,-0.5160 
2019-05-09,-1.1991 
2019-05-10,3.5985 
2019-05-13,-1.1535 
2019-05-14,-0.8049 
2019-05-15,2.2342 
2019-05-16,0.6265 
2019-05-17,-3.2453 
2019-05-20,-0.3848 
2019-05-21,1.7531 
2019-05-22,-0.6683 
2019-05-23,-2.0793 
2019-05-24,-0.6395 
2019-05-27,2.5030 
2019-05-28,-0.1503 
2019-05-29,0.0278 
2019-05-30,-0.6145 
2019-05-31,-0.2924 
2019-06-03,-1.1846 
2019-06-04,-1.2032 
2019-06-05,-0.2417 
2019-06-06,-2.1957 
2019-06-10,0.9934 
2019-06-11,3.7291 
2019-06-12,-0.7749 
2019-06-13,0.2911 
2019-06-14,-1.6837 
2019-06-17,0.1521 
2019-06-18,-0.1181 
2019-06-19,1.2876 
2019-06-20,1.9720 
2019-06-21,1.3436 
2019-06-24,0.0577 
2019-06-25,-0.9796 
2019-06-26,-0.2491 
2019-06-27,0.9046 
2019-06-28,-1.1384 
2019-07-01,3.0256 
2019-07-02,-0.3108 
2019-07-03,-0.8592 
